"","Race","2014-15","2015-16","2016-17","2017-18"
"1","Asian/Pacific Islander","-7.79 (-14.12, -1.47)","-5.60 (-11.04, -0.17)"," 4.74 (  0.04,  9.43)"," 8.87 (  1.25, 16.48)"
"2","Black/African American","-2.94 (-11.91,  6.03)"," 2.52 ( -6.97, 12.02)"," 9.27 (  1.51, 17.03)"," 5.90 ( -2.16, 13.97)"
"3","Latino","-5.34 (-12.22,  1.54)"," 4.01 ( -1.11,  9.12)","11.17 (  4.90, 17.44)","13.40 (  8.76, 18.03)"
"4","Multiple Races"," 0.50 ( -9.41, 10.40)"," 1.89 ( -7.27, 11.06)"," 1.06 ( -7.57,  9.68)"," 6.27 ( -1.79, 14.34)"
"5","White","-1.83 (-19.57, 15.92)"," 5.28 ( -7.92, 18.47)"," 6.62 ( -0.59, 13.83)","20.98 (  9.65, 32.32)"
