"","Parent Education Level","OUSD - District","OUSD - Sample","WCCUSD - District","WCCUSD - Sample"
"1","College graduate",35.92,35.2272727272727,32.5,30.5
"2","Graduate school",13.44,8.72727272727273,6.02941176470588,3.54545454545455
"3","High school graduate",24.26,26.5454545454545,36.5588235294118,39.9090909090909
"4","Less than high school",26.46,29.6363636363636,24.9411764705882,25.9090909090909
