"","lab","oak","wcc"
"1","Less than high school",29.6363636363636,25.9090909090909
"2","High school graduate",26.5454545454545,39.9090909090909
"3","College graduate",35.2272727272727,30.5
"4","Graduate school",8.72727272727273,3.54545454545455
