"","race","District","seas","est","lb","ub","agecat"
"1","Black/African American","Intervention","2014-15",49.0112725926963,36.2588092749624,64.7955015582767,"nonelem"
"2","Black/African American","Intervention","2015-16",19.0043710053312,11.4418727951096,29.6776794378563,"nonelem"
"3","Black/African American","Intervention","2016-17",93.0213949208318,75.0802711856221,113.95749324878,"nonelem"
"4","Black/African American","Intervention","2017-18",123.028296508197,102.248542655544,146.790181554897,"nonelem"
"5","Black/African American","Comparison","2014-15",62.0131964081957,40.131671002206,91.5437111115998,"nonelem"
"6","Black/African American","Comparison","2015-16",22.3247507069504,10.2082976072291,42.3793308811311,"nonelem"
"7","Black/African American","Comparison","2016-17",91.7795306841296,64.621259530451,126.505993307364,"nonelem"
"8","Black/African American","Comparison","2017-18",151.312199235997,115.741842935413,194.366850014477,"nonelem"
"9","Hispanic","Intervention","2014-15",20.8015531826376,12.328318749595,32.8754221184394,"nonelem"
"10","Hispanic","Intervention","2015-16",20.8015531826376,12.328318749595,32.8754221184394,"nonelem"
"11","Hispanic","Intervention","2016-17",30.0466879304766,19.6274941242504,44.0253595006761,"nonelem"
"12","Hispanic","Intervention","2017-18",36.9805389913558,25.2946612944166,52.2054870792545,"nonelem"
"13","Hispanic","Comparison","2014-15",41.0477826595923,27.0507474219937,59.7223686777477,"nonelem"
"14","Hispanic","Comparison","2015-16",18.2434589598188,9.42666146027064,31.8676513799306,"nonelem"
"15","Hispanic","Comparison","2016-17",41.0477826595923,27.0507474219937,59.7223686777477,"nonelem"
"16","Hispanic","Comparison","2017-18",47.1289356461985,32.0218252263585,66.8957622014515,"nonelem"
"17","White/API","Intervention","2014-15",25.9598660470912,19.8101126441886,33.4154934566614,"nonelem"
"18","White/API","Intervention","2015-16",14.2779263259002,9.82826751327407,20.051517037966,"nonelem"
"19","White/API","Intervention","2016-17",37.2091413341641,29.7625101650918,45.9529868478437,"nonelem"
"20","White/API","Intervention","2017-18",38.5071346365186,30.9243910863991,47.386342684837,"nonelem"
"21","White/API","Comparison","2014-15",33.979435054958,24.8772170908964,45.3238045965208,"nonelem"
"22","White/API","Comparison","2015-16",15.5123507859591,9.60238962894175,23.7122759831458,"nonelem"
"23","White/API","Comparison","2016-17",67.2201867391561,54.1215012238735,82.5314937038675,"nonelem"
"24","White/API","Comparison","2017-18",78.3004373005555,64.1059824243777,94.7021233659934,"nonelem"
